SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
1,1/10/2020,Anhui,Mainland China,1/10/2020 17:00,1,0,0
2,1/11/2020,Beijing,Mainland China,1/11/2020 17:00,14,0,0
3,1/12/2020,Chongqing,Mainland China,1/12/2020 17:00,6,0,0
4,1/13/2020,Fujian,Mainland China,1/13/2020 17:00,1,0,0
5,1/13/2020,Gansu,Mainland China,1/13/2020 17:00,0,0,0
6,1/12/2020,Guangdong,Mainland China,1/12/2020 17:00,26,0,0
7,1/10/2020,Guangxi,Mainland China,1/10/2020 17:00,2,0,0
8,1/15/2020,Guizhou,Mainland China,1/15/2020 17:00,1,0,0
9,1/16/2020,Hainan,Mainland China,1/16/2020 17:00,4,0,0
10,1/16/2020,Hebei,Mainland China,1/16/2020 17:00,1,0,0
11,1/18/2020,Heilongjiang,Mainland China,1/18/2020 17:00,0,0,0
12,1/20/2020,Henan,Mainland China,1/20/2020 17:00,5,0,0
13,1/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0
14,1/21/2020,Hubei,Mainland China,1/21/2020 17:00,444,17,28
15,1/22/2020,Hunan,Mainland China,1/22/2020 17:00,4,0,0
16,2/5/2020,Inner Mongolia,Mainland China,2/5/2020 17:00,0,0,0
17,2/5/2020,Jiangsu,Mainland China,2/5/2020 17:00,1,0,0
18,2/5/2020,Jiangxi,Mainland China,2/5/2020 17:00,2,0,0
19,2/5/2020,Jilin,Mainland China,2/5/2020 17:00,0,0,0
20,2/6/2020,Liaoning,Mainland China,2/6/2020 17:00,2,0,0
21,2/5/2020,Macau,Macau,2/6/2020 17:00,1,0,0
22,2/6/2020,Ningxia,Mainland China,2/6/2020 17:00,1,0,0
23,2/8/2020,Qinghai,Mainland China,2/8/2020 17:00,0,0,0
24,2/8/2020,Shaanxi,Mainland China,2/8/2020 17:00,0,0,0
25,2/8/2020,Shandong,Mainland China,2/8/2020 17:00,2,0,0
26,2/12/2020,Shanghai,Mainland China,2/12/2020 17:00,9,0,0
27,2/12/2020,Shanxi,Mainland China,2/12/2020 17:00,1,0,0
28,2/12/2020,Sichuan,Mainland China,2/12/2020 17:00,5,0,0
29,2/18/2020,Taiwan,Taiwan,2/18/2020 17:00,1,0,0
30,2/18/2020,Tianjin,Mainland China,2/18/2020 17:00,4,0,0
31,2/18/2020,Tibet,Mainland China,2/18/2020 17:00,0,0,0
32,2/18/2020,Washington,US,2/18/2020 17:00,1,0,0
33,2/20/2020,Xinjiang,Mainland China,2/20/2020 17:00,0,0,0
34,2/20/2020,Yunnan,Mainland China,2/20/2020 17:00,1,0,0
35,2/22/2020,Zhejiang,Mainland China,2/22/2020 17:00,10,0,0
36,2/22/2020,,Japan,2/22/2020 17:00,2,0,0
37,3/5/2020,,Thailand,3/5/2020 17:00,4,0,2
38,3/5/2020,,South Korea,3/5/2020 17:00,1,0,0
